timestamp_iso,raw_value
2025-10-02T06:13:43.618787,8421952
2025-10-02T06:13:43.638899,8441071
2025-10-02T06:13:43.662039,8459260
2025-10-02T06:13:43.685025,8474480
2025-10-02T06:13:43.708224,8488315
2025-10-02T06:13:43.731249,8496541
2025-10-02T06:13:43.754241,8505918
2025-10-02T06:13:43.777566,8510994
2025-10-02T06:13:43.801121,8512213
2025-10-02T06:13:43.823661,8507282
2025-10-02T06:13:43.847579,8493512
2025-10-02T06:13:43.870819,8470979
2025-10-02T06:13:43.894295,8448272
2025-10-02T06:13:43.917341,8427431
2025-10-02T06:13:43.940318,8408591
2025-10-02T06:13:43.963848,8391189
2025-10-02T06:13:43.986296,8373674
2025-10-02T06:13:44.009486,8358542
2025-10-02T06:13:44.032499,8344805
2025-10-02T06:13:44.055761,8333817
2025-10-02T06:13:44.079297,8327792
2025-10-02T06:13:44.102539,8323205
2025-10-02T06:13:44.125686,8322867
2025-10-02T06:13:44.148449,8328991
2025-10-02T06:13:44.171849,8345399
2025-10-02T06:13:44.195309,8369568
2025-10-02T06:13:44.218303,8392627
2025-10-02T06:13:44.241501,8412564
2025-10-02T06:13:44.264810,8431011
2025-10-02T06:13:44.287829,8449320
2025-10-02T06:13:44.310344,8465351
2025-10-02T06:13:44.334342,8479756
2025-10-02T06:13:44.357342,8491235
2025-10-02T06:13:44.380354,8499719
2025-10-02T06:13:44.403560,8505718
2025-10-02T06:13:44.426550,8509704
2025-10-02T06:13:44.449790,8507780
2025-10-02T06:13:44.472866,8500039
2025-10-02T06:13:44.496346,8480338
2025-10-02T06:13:44.519414,8457363
2025-10-02T06:13:44.543416,8436515
2025-10-02T06:13:44.566138,8417639
2025-10-02T06:13:44.589163,8400745
2025-10-02T06:13:44.612232,8382769
2025-10-02T06:13:44.635198,8366659
2025-10-02T06:13:44.658323,8351934
2025-10-02T06:13:44.681329,8340547
2025-10-02T06:13:44.704886,8332169
2025-10-02T06:13:44.727865,8326034
2025-10-02T06:13:44.750867,8324944
2025-10-02T06:13:44.774864,8327576
2025-10-02T06:13:44.797933,8338132
2025-10-02T06:13:44.820929,8360522
2025-10-02T06:13:44.843935,8383240
2025-10-02T06:13:44.866943,8403545
2025-10-02T06:13:44.889941,8422088
2025-10-02T06:13:44.914045,8440115
2025-10-02T06:13:44.937046,8457079
2025-10-02T06:13:44.961054,8472081
2025-10-02T06:13:44.983099,8483770
2025-10-02T06:13:45.006611,8493125
2025-10-02T06:13:45.029892,8501108
2025-10-02T06:13:45.052890,8505799
2025-10-02T06:13:45.076193,8506580
2025-10-02T06:13:45.099256,8502352
2025-10-02T06:13:45.121810,8488890
2025-10-02T06:13:45.144770,8465684
2025-10-02T06:13:45.167790,8444667
2025-10-02T06:13:45.191350,8425569
2025-10-02T06:13:45.214695,8408361
2025-10-02T06:13:45.238207,8391651
2025-10-02T06:13:45.261210,8374682
2025-10-02T06:13:45.284404,8360421
2025-10-02T06:13:45.307578,8347157
2025-10-02T06:13:45.330635,8337501
2025-10-02T06:13:45.353689,8330479
2025-10-02T06:13:45.377061,8326904
2025-10-02T06:13:45.400286,8327569
2025-10-02T06:13:45.423298,8334307
2025-10-02T06:13:45.446393,8350504
2025-10-02T06:13:45.470101,8373252
2025-10-02T06:13:45.493834,8395199
2025-10-02T06:13:45.516016,8413535
2025-10-02T06:13:45.539173,8430209
2025-10-02T06:13:45.563305,8447709
2025-10-02T06:13:45.585471,8463268
2025-10-02T06:13:45.609244,8476955
2025-10-02T06:13:45.632296,8487080
2025-10-02T06:13:45.654842,8495698
2025-10-02T06:13:45.678240,8501361
2025-10-02T06:13:45.701124,8504474
2025-10-02T06:13:45.725125,8502916
2025-10-02T06:13:45.747300,8494291
2025-10-02T06:13:45.771319,8476562
2025-10-02T06:13:45.794456,8453940
2025-10-02T06:13:45.817080,8434407
2025-10-02T06:13:45.839852,8416806
2025-10-02T06:13:45.863961,8399421
2025-10-02T06:13:45.886904,8382631
2025-10-02T06:13:45.910784,8367110
2025-10-02T06:13:45.933049,8354417
2025-10-02T06:13:45.956488,8343622
2025-10-02T06:13:45.979483,8335503
2025-10-02T06:13:46.003064,8330127
2025-10-02T06:13:46.026075,8327999
2025-10-02T06:13:46.049222,8332058
2025-10-02T06:13:46.072198,8342912
2025-10-02T06:13:46.095760,8363686
2025-10-02T06:13:46.119196,8385530
2025-10-02T06:13:46.141593,8405068
2025-10-02T06:13:46.164754,8423103
2025-10-02T06:13:46.187684,8439618
2025-10-02T06:13:46.212087,8455928
2025-10-02T06:13:46.234629,8469749
2025-10-02T06:13:46.257290,8481285
2025-10-02T06:13:46.280396,8490528
2025-10-02T06:13:46.304203,8498148
2025-10-02T06:13:46.327431,8502242
2025-10-02T06:13:46.350657,8502269
2025-10-02T06:13:46.373633,8498088
2025-10-02T06:13:46.397346,8483042
2025-10-02T06:13:46.420344,8462589
2025-10-02T06:13:46.443351,8442190
2025-10-02T06:13:46.466115,8424337
2025-10-02T06:13:46.489033,8407468
2025-10-02T06:13:46.512834,8391126
2025-10-02T06:13:46.535380,8375086
