cycle_start_iso,torque_amp_nm,torque_rms_nm
2025-10-02T06:33:01.442514,1.664594,1.846454
2025-10-02T06:33:02.044924,1.667937,1.844623
2025-10-02T06:33:02.647334,1.666650,1.837738
2025-10-02T06:33:03.249744,1.683074,1.832358
2025-10-02T06:33:03.852154,1.686486,1.818574
2025-10-02T06:33:04.454564,1.685672,1.805585
2025-10-02T06:33:05.056974,1.687954,1.799963
2025-10-02T06:33:05.659384,1.662719,1.779349
2025-10-02T06:33:06.261794,1.696313,1.783543
2025-10-02T06:33:06.864204,1.662606,1.779158
2025-10-02T06:33:07.466614,1.699115,1.718989
2025-10-02T06:33:08.069024,1.702255,1.803572
2025-10-02T06:33:08.671434,1.706954,1.814783
2025-10-02T06:33:09.273844,1.710930,1.823112
2025-10-02T06:33:09.876254,1.694348,1.833600
2025-10-02T06:33:10.478664,1.719561,1.843913
2025-10-02T06:33:11.081074,1.733861,1.859128
2025-10-02T06:33:11.683484,1.706819,1.864126
2025-10-02T06:33:12.285894,1.738470,1.876278
2025-10-02T06:33:12.888304,1.744480,1.880292
2025-10-02T06:33:13.490714,1.722746,1.887154
2025-10-02T06:33:14.093124,1.728936,1.882797
2025-10-02T06:33:14.695534,1.735691,1.882594
2025-10-02T06:33:15.297944,1.733681,1.884286
2025-10-02T06:33:15.900354,1.744028,1.882127
2025-10-02T06:33:16.502764,1.740187,1.891697
2025-10-02T06:33:17.105174,1.745587,1.889443
2025-10-02T06:33:17.707584,1.757674,1.890429
2025-10-02T06:33:18.309994,1.786931,1.897574
2025-10-02T06:33:18.912404,1.769512,1.893489
2025-10-02T06:33:19.514814,1.778255,1.888631
2025-10-02T06:33:20.117224,1.775521,1.891996
2025-10-02T06:33:20.719634,1.775250,1.880346
2025-10-02T06:33:21.322044,1.787269,1.879462
2025-10-02T06:33:21.924454,1.782435,1.875328
2025-10-02T06:33:22.526864,1.788535,1.864014
2025-10-02T06:33:23.129274,1.796984,1.847739
2025-10-02T06:33:23.731684,1.812166,1.830256
2025-10-02T06:33:24.334094,1.832883,1.824224
2025-10-02T06:33:24.936504,1.822016,1.825660
2025-10-02T06:33:25.538914,1.809523,1.831506
2025-10-02T06:33:26.141324,1.834871,1.842079
2025-10-02T06:33:26.743734,1.858051,1.849725
2025-10-02T06:33:27.346144,1.839254,1.857508
2025-10-02T06:33:27.948554,1.847636,1.876393
2025-10-02T06:33:28.550964,1.848381,1.883792
2025-10-02T06:33:29.153374,1.866161,1.903525
2025-10-02T06:33:29.755784,1.855995,1.909149
2025-10-02T06:33:30.358194,1.867901,1.919828
2025-10-02T06:33:30.960604,1.876125,1.931173
2025-10-02T06:33:31.563014,1.891103,1.941298
2025-10-02T06:33:32.165424,1.886404,1.944584
2025-10-02T06:33:32.767834,1.879491,1.943269
2025-10-02T06:33:33.370244,1.886404,1.943800
2025-10-02T06:33:33.972654,1.912340,1.948748
2025-10-02T06:33:34.575064,1.874227,1.950730
2025-10-02T06:33:35.177474,1.895147,1.951071
2025-10-02T06:33:35.779884,1.927770,1.956902
2025-10-02T06:33:36.382294,1.926053,1.959942
2025-10-02T06:33:36.984704,1.926889,1.967067
2025-10-02T06:33:37.587114,1.948668,1.970652
2025-10-02T06:33:38.189524,1.939744,1.964007
2025-10-02T06:33:38.791934,1.963647,1.969755
2025-10-02T06:33:39.394344,1.947584,1.958317
2025-10-02T06:33:39.996754,1.960868,1.953469
2025-10-02T06:33:40.599164,1.969679,1.943529
2025-10-02T06:33:41.201574,1.975440,1.947851
2025-10-02T06:33:41.803984,1.979077,1.877500
2025-10-02T06:33:42.406394,2.001873,1.970234
2025-10-02T06:33:43.008804,1.991164,1.818006
2025-10-02T06:33:43.611214,1.988521,1.902048
2025-10-02T06:33:44.213624,2.010526,1.913941
2025-10-02T06:33:44.816034,2.011113,1.928926
2025-10-02T06:33:45.418444,2.030926,1.936159
2025-10-02T06:33:46.020854,2.022816,1.953222
2025-10-02T06:33:46.623264,2.045092,1.963453
2025-10-02T06:33:47.225674,2.029232,1.977574
2025-10-02T06:33:47.828084,2.037049,1.994353
2025-10-02T06:33:48.430494,2.048051,2.004198
2025-10-02T06:33:49.032904,2.076630,2.011972
2025-10-02T06:33:49.635314,2.065379,2.028247
2025-10-02T06:33:50.237724,2.071773,2.030679
2025-10-02T06:33:50.840134,2.104351,2.039636
2025-10-02T06:33:51.442544,2.102815,2.040182
2025-10-02T06:33:52.044954,2.103718,2.038425
2025-10-02T06:33:52.647364,2.105887,2.047542
2025-10-02T06:33:53.249774,2.118223,2.046085
2025-10-02T06:33:53.852184,2.122357,2.054105
2025-10-02T06:33:54.454594,2.126491,2.054115
2025-10-02T06:33:55.057004,2.139730,2.058670
2025-10-02T06:33:55.659414,2.147977,2.064182
2025-10-02T06:33:56.261824,2.187807,2.070563
2025-10-02T06:33:56.864234,2.157036,2.064672
2025-10-02T06:33:57.466644,2.176646,2.060465
2025-10-02T06:33:58.069054,2.184079,2.053050
2025-10-02T06:33:58.671464,2.192980,2.047606
2025-10-02T06:33:59.273874,2.196798,2.050068
2025-10-02T06:33:59.876284,2.208094,2.032975
2025-10-02T06:34:00.478694,2.224022,2.022020
2025-10-02T06:34:01.081104,2.222440,2.002669
2025-10-02T06:34:01.683514,2.223773,1.994096
2025-10-02T06:34:02.285924,2.210580,1.994752
2025-10-02T06:34:02.888334,2.250839,2.007727
2025-10-02T06:34:03.490744,2.255967,2.023310
2025-10-02T06:34:04.093154,2.263558,2.039144
2025-10-02T06:34:04.695564,2.281338,2.051189
2025-10-02T06:34:05.297974,2.301265,2.071144
2025-10-02T06:34:05.900384,2.306483,2.087340
2025-10-02T06:34:06.502794,2.304563,2.104424
2025-10-02T06:34:07.105204,2.299841,2.113010
2025-10-02T06:34:07.707614,2.310527,2.120514
2025-10-02T06:34:08.310024,2.335808,2.134364
2025-10-02T06:34:08.912434,2.336509,2.142592
2025-10-02T06:34:09.514844,2.347285,2.148099
2025-10-02T06:34:10.117254,2.349160,2.150647
2025-10-02T06:34:10.719664,2.361676,2.151189
2025-10-02T06:34:11.322074,2.360388,2.155565
2025-10-02T06:34:11.924484,2.354786,2.148423
2025-10-02T06:34:12.526894,2.383184,2.165525
2025-10-02T06:34:13.129304,2.393034,2.169882
2025-10-02T06:34:13.731714,2.385104,2.174165
2025-10-02T06:34:14.334124,2.393554,2.174426
2025-10-02T06:34:14.936534,2.428323,2.182682
2025-10-02T06:34:15.538944,2.422291,2.177096
2025-10-02T06:34:16.141354,2.430424,2.205547
2025-10-02T06:34:16.743764,2.444635,2.160017
2025-10-02T06:34:17.346174,2.446058,2.169474
2025-10-02T06:34:17.948584,2.467724,2.153429
2025-10-02T06:34:18.550994,2.459184,2.139691
2025-10-02T06:34:19.153404,2.503284,2.128210
2025-10-02T06:34:19.755814,2.496981,2.108812
2025-10-02T06:34:20.358224,2.483606,2.108312
