timestamp_iso,raw_value
2025-10-02T06:31:57.587054,8382701
2025-10-02T06:31:57.607229,8382871
2025-10-02T06:31:57.629949,8382753
2025-10-02T06:31:57.653618,8382816
2025-10-02T06:31:57.676813,8382686
2025-10-02T06:31:57.699522,8382316
2025-10-02T06:31:57.723089,8382329
2025-10-02T06:31:57.746511,8382632
2025-10-02T06:31:57.769511,8382211
2025-10-02T06:31:57.792158,8381877
2025-10-02T06:31:57.816133,8382541
2025-10-02T06:31:57.839168,8382315
2025-10-02T06:31:57.862171,8382463
2025-10-02T06:31:57.885052,8382785
2025-10-02T06:31:57.908205,8382988
2025-10-02T06:31:57.931231,8382634
2025-10-02T06:31:57.954279,8382666
2025-10-02T06:31:57.978637,8382536
2025-10-02T06:31:58.001084,8382310
2025-10-02T06:31:58.023839,8382801
2025-10-02T06:31:58.047390,8382104
2025-10-02T06:31:58.070904,8383091
2025-10-02T06:31:58.093674,8382415
2025-10-02T06:31:58.116939,8382371
2025-10-02T06:31:58.140579,8382698
2025-10-02T06:31:58.163055,8382850
2025-10-02T06:31:58.186610,8382352
2025-10-02T06:31:58.209597,8382368
2025-10-02T06:31:58.233113,8382573
2025-10-02T06:31:58.256462,8382424
2025-10-02T06:31:58.279472,8382267
2025-10-02T06:31:58.302896,8382447
2025-10-02T06:31:58.326011,8382630
2025-10-02T06:31:58.348738,8382220
2025-10-02T06:31:58.371910,8382784
2025-10-02T06:31:58.395337,8382333
2025-10-02T06:31:58.418586,8382391
2025-10-02T06:31:58.441058,8382533
2025-10-02T06:31:58.464433,8382237
2025-10-02T06:31:58.488239,8382697
2025-10-02T06:31:58.511599,8382762
2025-10-02T06:31:58.534104,8381876
2025-10-02T06:31:58.557663,8381932
2025-10-02T06:31:58.580653,8382752
2025-10-02T06:31:58.603679,8382705
2025-10-02T06:31:58.627294,8382981
2025-10-02T06:31:58.650633,8381780
2025-10-02T06:31:58.673349,8382472
2025-10-02T06:31:58.696521,8382731
2025-10-02T06:31:58.719233,8382226
2025-10-02T06:31:58.743419,8382732
2025-10-02T06:31:58.766428,8381667
2025-10-02T06:31:58.789522,8382514
2025-10-02T06:31:58.812560,8381271
2025-10-02T06:31:58.836148,8381964
2025-10-02T06:31:58.859148,8382104
2025-10-02T06:31:58.882235,8381941
2025-10-02T06:31:58.905354,8382403
2025-10-02T06:31:58.928396,8381872
2025-10-02T06:31:58.951901,8381959
2025-10-02T06:31:58.974785,8382051
2025-10-02T06:31:58.997783,8381567
2025-10-02T06:31:59.022072,8381633
2025-10-02T06:31:59.044016,8381477
2025-10-02T06:31:59.067579,8381322
2025-10-02T06:31:59.090908,8381435
2025-10-02T06:31:59.114207,8382142
2025-10-02T06:31:59.137347,8381113
2025-10-02T06:31:59.160337,8381425
2025-10-02T06:31:59.183345,8381446
2025-10-02T06:31:59.206303,8380760
2025-10-02T06:31:59.230317,8382049
2025-10-02T06:31:59.252893,8381476
2025-10-02T06:31:59.276851,8381644
2025-10-02T06:31:59.299610,8381991
2025-10-02T06:31:59.322697,8381988
2025-10-02T06:31:59.346357,8381841
2025-10-02T06:31:59.368482,8381598
2025-10-02T06:31:59.392140,8381957
2025-10-02T06:31:59.415658,8381597
2025-10-02T06:31:59.438286,8381093
2025-10-02T06:31:59.462244,8381077
2025-10-02T06:31:59.484800,8381643
2025-10-02T06:31:59.508295,8381285
2025-10-02T06:31:59.531596,8382008
2025-10-02T06:31:59.554285,8381582
2025-10-02T06:31:59.578327,8381193
2025-10-02T06:31:59.601245,8382198
2025-10-02T06:31:59.623658,8381909
2025-10-02T06:31:59.647019,8382062
2025-10-02T06:31:59.671338,8382042
2025-10-02T06:31:59.694000,8382104
2025-10-02T06:31:59.717286,8381627
2025-10-02T06:31:59.739673,8382292
2025-10-02T06:31:59.762852,8381548
2025-10-02T06:31:59.786112,8381732
2025-10-02T06:31:59.809524,8381377
2025-10-02T06:31:59.833020,8381758
2025-10-02T06:31:59.855528,8382064
2025-10-02T06:31:59.879501,8382175
2025-10-02T06:31:59.902432,8381488
2025-10-02T06:31:59.925698,8382227
2025-10-02T06:31:59.949037,8382554
2025-10-02T06:31:59.971511,8381633
2025-10-02T06:31:59.995661,8381818
2025-10-02T06:32:00.019074,8381864
2025-10-02T06:32:00.041071,8381849
2025-10-02T06:32:00.064367,8381403
2025-10-02T06:32:00.088034,8381752
2025-10-02T06:32:00.111159,8382462
2025-10-02T06:32:00.133636,8382047
2025-10-02T06:32:00.156977,8381961
2025-10-02T06:32:00.181099,8378188
2025-10-02T06:32:00.203941,8381524
2025-10-02T06:32:00.226699,8386525
2025-10-02T06:32:00.250225,8391347
2025-10-02T06:32:00.273318,8396615
2025-10-02T06:32:00.296727,8401766
2025-10-02T06:32:00.320293,8406911
2025-10-02T06:32:00.342789,8413327
2025-10-02T06:32:00.365741,8419646
2025-10-02T06:32:00.389432,8425139
2025-10-02T06:32:00.412065,8428471
2025-10-02T06:32:00.435673,8430096
2025-10-02T06:32:00.459065,8428596
2025-10-02T06:32:00.482268,8422650
2025-10-02T06:32:00.504757,8409892
2025-10-02T06:32:00.529111,8396633
2025-10-02T06:32:00.551297,8386256
2025-10-02T06:32:00.574497,8375609
2025-10-02T06:32:00.598022,8366090
