timestamp_iso,raw_value
2025-10-02T06:11:12.684450,8414448
2025-10-02T06:11:12.702445,8414588
2025-10-02T06:11:12.725181,8414860
2025-10-02T06:11:12.748526,8414118
2025-10-02T06:11:12.771593,8414148
2025-10-02T06:11:12.794203,8414477
2025-10-02T06:11:12.818396,8414023
2025-10-02T06:11:12.841544,8414493
2025-10-02T06:11:12.864627,8414180
2025-10-02T06:11:12.887496,8414130
2025-10-02T06:11:12.911356,8414588
2025-10-02T06:11:12.934095,8414236
2025-10-02T06:11:12.957872,8414032
2025-10-02T06:11:12.980210,8414600
2025-10-02T06:11:13.003749,8413974
2025-10-02T06:11:13.027258,8413838
2025-10-02T06:11:13.049581,8414345
2025-10-02T06:11:13.073100,8414264
2025-10-02T06:11:13.096269,8414370
2025-10-02T06:11:13.120311,8414351
2025-10-02T06:11:13.142742,8414564
2025-10-02T06:11:13.166285,8413799
2025-10-02T06:11:13.189536,8414262
2025-10-02T06:11:13.212202,8414086
2025-10-02T06:11:13.236214,8413833
2025-10-02T06:11:13.258991,8414256
2025-10-02T06:11:13.281873,8414523
2025-10-02T06:11:13.304604,8414227
2025-10-02T06:11:13.327941,8414326
2025-10-02T06:11:13.351284,8414671
2025-10-02T06:11:13.375199,8413911
2025-10-02T06:11:13.398125,8413726
2025-10-02T06:11:13.421835,8413850
2025-10-02T06:11:13.444262,8414141
2025-10-02T06:11:13.467180,8414663
2025-10-02T06:11:13.490395,8414036
2025-10-02T06:11:13.514150,8414001
2025-10-02T06:11:13.537144,8414106
2025-10-02T06:11:13.559687,8414840
2025-10-02T06:11:13.583298,8414096
2025-10-02T06:11:13.606724,8414256
2025-10-02T06:11:13.629779,8414062
2025-10-02T06:11:13.653155,8413849
2025-10-02T06:11:13.675786,8413835
2025-10-02T06:11:13.699433,8414077
2025-10-02T06:11:13.722588,8414509
2025-10-02T06:11:13.745562,8413960
2025-10-02T06:11:13.769170,8414988
2025-10-02T06:11:13.792284,8414124
2025-10-02T06:11:13.815299,8414904
2025-10-02T06:11:13.837983,8414002
2025-10-02T06:11:13.861858,8413590
2025-10-02T06:11:13.885095,8414745
2025-10-02T06:11:13.907927,8414092
2025-10-02T06:11:13.931691,8414722
2025-10-02T06:11:13.954215,8414311
2025-10-02T06:11:13.977904,8414405
2025-10-02T06:11:14.000569,8414869
2025-10-02T06:11:14.023345,8414443
2025-10-02T06:11:14.047240,8414733
2025-10-02T06:11:14.070247,8413823
2025-10-02T06:11:14.093544,8414271
2025-10-02T06:11:14.116821,8414812
2025-10-02T06:11:14.139751,8414858
2025-10-02T06:11:14.162775,8413749
2025-10-02T06:11:14.186354,8414140
2025-10-02T06:11:14.209422,8414370
2025-10-02T06:11:14.231985,8414332
2025-10-02T06:11:14.256088,8414804
2025-10-02T06:11:14.278318,8413575
2025-10-02T06:11:14.301848,8414522
2025-10-02T06:11:14.324685,8414038
2025-10-02T06:11:14.348006,8414674
2025-10-02T06:11:14.371318,8414480
2025-10-02T06:11:14.394355,8414044
2025-10-02T06:11:14.417735,8413982
2025-10-02T06:11:14.441334,8413816
2025-10-02T06:11:14.463845,8414580
2025-10-02T06:11:14.487033,8413933
2025-10-02T06:11:14.510402,8413906
2025-10-02T06:11:14.534026,8414271
2025-10-02T06:11:14.556738,8413884
2025-10-02T06:11:14.580152,8414097
2025-10-02T06:11:14.603462,8414152
2025-10-02T06:11:14.626460,8414300
2025-10-02T06:11:14.649177,8413787
2025-10-02T06:11:14.672972,8414272
2025-10-02T06:11:14.696015,8414247
2025-10-02T06:11:14.719093,8413957
2025-10-02T06:11:14.742096,8414658
2025-10-02T06:11:14.765013,8414650
2025-10-02T06:11:14.789312,8414474
2025-10-02T06:11:14.811917,8413732
2025-10-02T06:11:14.835659,8414204
2025-10-02T06:11:14.858080,8414241
2025-10-02T06:11:14.881696,8414565
2025-10-02T06:11:14.904758,8414353
2025-10-02T06:11:14.927502,8414287
2025-10-02T06:11:14.950726,8414241
2025-10-02T06:11:14.973841,8414867
2025-10-02T06:11:14.996975,8414159
2025-10-02T06:11:15.020508,8414658
2025-10-02T06:11:15.043476,8413717
2025-10-02T06:11:15.067008,8414871
2025-10-02T06:11:15.090514,8413656
2025-10-02T06:11:15.113417,8415545
2025-10-02T06:11:15.136332,8414268
2025-10-02T06:11:15.159952,8413757
2025-10-02T06:11:15.183152,8413904
2025-10-02T06:11:15.206220,8414266
2025-10-02T06:11:15.229219,8414434
