timestamp_iso,raw_value
2025-10-08T04:13:09.390023,8655439
2025-10-08T04:13:09.484989,8655353
2025-10-08T04:13:09.585732,8655343
2025-10-08T04:13:09.686033,8655372
2025-10-08T04:13:09.785753,8655591
2025-10-08T04:13:09.885909,8655472
2025-10-08T04:13:09.985911,8655409
2025-10-08T04:13:10.085604,8655453
2025-10-08T04:13:10.186056,8655583
2025-10-08T04:13:10.285848,8655321
2025-10-08T04:13:10.385112,8655532
2025-10-08T04:13:10.485708,8655197
2025-10-08T04:13:10.585728,8655574
2025-10-08T04:13:10.685842,8654970
2025-10-08T04:13:10.785100,8655189
2025-10-08T04:13:10.885124,8655740
2025-10-08T04:13:10.985721,8655527
2025-10-08T04:13:11.085613,8655291
2025-10-08T04:13:11.185577,8654932
2025-10-08T04:13:11.285762,8655492
2025-10-08T04:13:11.385920,8655477
2025-10-08T04:13:11.484870,8656654
2025-10-08T04:13:11.585606,8658021
2025-10-08T04:13:11.685619,8657795
2025-10-08T04:13:11.785669,8658190
2025-10-08T04:13:11.885600,8657835
2025-10-08T04:13:11.985097,8657878
2025-10-08T04:13:12.085493,8657388
2025-10-08T04:13:12.186134,8657612
2025-10-08T04:13:12.285752,8657531
2025-10-08T04:13:12.385627,8657261
2025-10-08T04:13:12.485315,8657677
2025-10-08T04:13:12.585416,8657617
2025-10-08T04:13:12.685696,8657568
2025-10-08T04:13:12.785625,8657355
2025-10-08T04:13:12.885704,8657514
2025-10-08T04:13:12.985096,8657604
2025-10-08T04:13:13.085121,8657627
2025-10-08T04:13:13.185682,8657509
2025-10-08T04:13:13.285346,8657338
2025-10-08T04:13:13.385089,8657398
2025-10-08T04:13:13.485301,8657626
2025-10-08T04:13:13.585747,8657338
2025-10-08T04:13:13.685789,8657894
2025-10-08T04:13:13.785695,8657576
2025-10-08T04:13:13.885189,8657740
2025-10-08T04:13:13.985151,8657464
2025-10-08T04:13:14.085245,8657464
2025-10-08T04:13:14.185814,8657552
2025-10-08T04:13:14.285150,8657748
2025-10-08T04:13:14.385479,8657564
2025-10-08T04:13:14.485742,8657688
2025-10-08T04:13:14.585007,8657952
2025-10-08T04:13:14.685474,8657953
2025-10-08T04:13:14.785605,8657893
2025-10-08T04:13:14.885261,8657812
2025-10-08T04:13:14.985785,8658151
2025-10-08T04:13:15.085636,8657749
2025-10-08T04:13:15.185629,8657926
2025-10-08T04:13:15.285556,8657697
2025-10-08T04:13:15.385497,8657910
2025-10-08T04:13:15.485638,8658089
2025-10-08T04:13:15.585921,8657606
2025-10-08T04:13:15.685851,8657539
2025-10-08T04:13:15.785798,8657720
2025-10-08T04:13:15.885163,8657568
2025-10-08T04:13:15.985178,8657567
2025-10-08T04:13:16.085817,8657788
2025-10-08T04:13:16.185486,8657935
2025-10-08T04:13:16.285464,8657720
2025-10-08T04:13:16.385630,8657265
2025-10-08T04:13:16.485562,8657644
2025-10-08T04:13:16.585461,8657733
2025-10-08T04:13:16.685259,8657496
2025-10-08T04:13:16.785589,8657539
2025-10-08T04:13:16.885520,8657556
2025-10-08T04:13:16.986577,8657859
2025-10-08T04:13:17.085610,8657567
2025-10-08T04:13:17.185257,8657977
2025-10-08T04:13:17.285592,8657471
