timestamp_iso,raw_value
2025-10-08T04:12:58.191379,8655481
2025-10-08T04:12:58.285696,8655405
2025-10-08T04:12:58.391170,8655336
2025-10-08T04:12:58.485902,8654841
2025-10-08T04:12:58.585960,8655405
2025-10-08T04:12:58.686053,8655134
2025-10-08T04:12:58.786578,8655107
2025-10-08T04:12:58.886875,8655279
2025-10-08T04:12:58.985844,8655033
2025-10-08T04:12:59.085728,8655092
2025-10-08T04:12:59.185102,8655136
2025-10-08T04:12:59.285842,8654782
2025-10-08T04:12:59.385681,8655145
2025-10-08T04:12:59.485659,8655834
2025-10-08T04:12:59.585753,8655172
2025-10-08T04:12:59.685780,8655579
2025-10-08T04:12:59.785425,8655030
2025-10-08T04:12:59.886223,8655415
2025-10-08T04:12:59.985808,8655819
2025-10-08T04:13:00.085632,8655676
2025-10-08T04:13:00.185696,8657754
2025-10-08T04:13:00.285656,8658370
2025-10-08T04:13:00.385555,8658100
2025-10-08T04:13:00.485205,8657843
2025-10-08T04:13:00.585793,8658035
2025-10-08T04:13:00.685676,8658238
2025-10-08T04:13:00.785806,8657968
2025-10-08T04:13:00.885029,8657979
2025-10-08T04:13:00.984999,8657602
2025-10-08T04:13:01.085539,8658167
2025-10-08T04:13:01.185700,8657651
2025-10-08T04:13:01.285690,8658217
2025-10-08T04:13:01.386175,8658012
2025-10-08T04:13:01.485498,8657916
2025-10-08T04:13:01.585167,8657742
2025-10-08T04:13:01.685568,8657869
2025-10-08T04:13:01.785551,8657733
2025-10-08T04:13:01.885024,8657996
2025-10-08T04:13:02.004562,8657982
2025-10-08T04:13:02.087563,8657990
